InteractionID,UserID,SessionID,ProductID,TimeSpentSeconds,EngagementScore,ActionTaken,NextProductID
I00148,U1838,S0015,ms-3,236.52,0.4936,Rewatch,N/A
I00149,U0531,S0015,ms-4,16.78,0.1622,Exit,N/A
I00150,U0568,S0016,ec-3,27.45,0.1247,Exit,N/A
I00151,U0490,S0016,ms-5,85.87,0.957,Share,N/A
I00152,U0481,S0016,ms-5,206.56,0.85,Next Product,ms-3
I00153,U0309,S0016,ms-4,78.45,0.9436,Share,N/A
I00154,U0439,S0016,ms-2,109.33,0.99,Share,N/A
I00155,U0955,S0016,ec-1,33.58,0.142,Exit,N/A
I00156,U1706,S0016,ec-1,99.43,0.9199,Share,N/A
I00157,U1938,S0016,ec-6,249.44,0.9056,Next Product,ec-4
I00158,U0977,S0016,ms-1,59.68,0.2759,Rewatch,N/A
I00159,U0612,S0016,ec-1,64.78,0.4133,Exit,N/A
I00160,U1953,S0017,ec-1,120.7,0.938,Share,N/A
I00161,U1639,S0017,ec-4,56.72,0.4019,Exit,N/A
I00162,U1000,S0017,ms-4,264.21,0.9227,Next Product,ms-1
I00163,U1370,S0017,ec-5,40.0,0.1703,Exit,N/A
I00164,U1484,S0017,ms-3,202.72,0.65,Exit,N/A
I00165,U1275,S0017,ec-3,286.01,0.99,Next Product,ec-6
I00166,U0056,S0017,ms-2,23.89,0.1988,Exit,N/A
I00167,U0278,S0017,ec-2,206.41,0.9592,Next Product,ec-5
I00168,U0932,S0017,ms-6,245.27,0.8522,Next Product,ms-5
I00169,U1949,S0017,ec-1,280.98,0.85,Next Product,ec-2
I00170,U1105,S0018,ms-1,10.0,0.4544,Next Product,ms-4
I00171,U1332,S0018,ms-2,184.06,0.5992,Rewatch,N/A
I00172,U1545,S0018,ms-1,11.8,0.2416,Rewatch,N/A
I00173,U0409,S0018,ms-1,267.18,0.5031,Rewatch,N/A
I00174,U0970,S0018,ec-5,200.0,0.9877,Share,N/A
I00175,U0953,S0018,ec-6,23.85,0.2119,Exit,N/A
I00176,U0756,S0018,ms-3,180.0,0.4901,Exit,N/A
I00177,U1472,S0018,ms-2,25.05,0.1523,Exit,N/A
I00178,U0336,S0018,ms-5,20.5,0.1811,Exit,N/A
I00179,U0053,S0018,ms-5,67.97,0.9457,Next Product,ms-3
I00180,U1929,S0019,ec-6,253.61,0.9457,Next Product,ec-4
I00181,U0498,S0019,ms-2,26.15,0.2276,Exit,N/A
I00182,U0618,S0019,ec-5,26.7,0.2077,Exit,N/A
I00183,U0248,S0019,ec-4,261.06,0.5666,Rewatch,N/A
I00184,U0878,S0019,ec-5,69.39,0.9419,Share,N/A
I00185,U0699,S0019,ms-1,279.56,0.6378,Rewatch,N/A
I00186,U0217,S0019,ec-1,36.99,0.3487,Exit,N/A
I00187,U1302,S0019,ec-2,262.34,0.4,Rewatch,N/A
I00188,U1503,S0019,ec-3,14.5,0.1,Next Product,ec-6
I00189,U1656,S0019,ec-3,228.01,0.4,Rewatch,N/A
I00190,U1692,S0020,ec-6,20.13,0.2167,Exit,N/A
I00191,U0661,S0020,ms-4,259.26,0.5831,Rewatch,N/A
I00192,U1806,S0020,ec-2,249.56,0.9598,Next Product,ec-5
I00193,U0777,S0020,ms-6,241.56,0.85,Next Product,ms-5
I00194,U0435,S0020,ms-6,24.94,0.1702,Exit,N/A
I00195,U0698,S0020,ms-5,83.68,0.1838,Exit,N/A
I00196,U1437,S0020,ms-5,111.0,0.9218,Share,N/A
I00197,U0392,S0020,ms-2,234.58,0.867,Next Product,ms-6
I00198,U0493,S0020,ec-6,24.37,0.1978,Exit,N/A
I00199,U1458,S0020,ec-2,15.14,0.1752,Exit,N/A
I00200,U0036,S0021,ms-2,19.7,0.1104,Exit,N/A
I00201,U0829,S0021,ec-6,246.79,0.8682,Next Product,ec-4
I00202,U1134,S0021,ec-3,19.46,0.0901,Exit,N/A
I00203,U1528,S0021,ec-3,300.0,0.9218,Next Product,ec-6
I00204,U0515,S0021,ms-4,18.0,0.1607,Exit,N/A
I00205,U0395,S0021,ms-6,23.88,0.139,Exit,N/A
I00206,U1098,S0021,ec-6,268.43,0.9579,Next Product,ec-4
I00207,U1484,S0021,ec-4,34.08,0.3136,Exit,N/A
I00208,U1075,S0021,ec-4,300.0,0.9045,Next Product,ec-3
I00209,U0466,S0021,ms-6,231.2,0.85,Next Product,ms-5
I00210,U0562,S0022,ms-1,75.54,0.2518,Next Product,ms-4
I00211,U1429,S0022,ms-3,300.0,0.65,Rewatch,N/A
I00212,U0211,S0022,ms-1,96.16,0.9213,Share,N/A
I00213,U0903,S0022,ms-6,201.81,0.9302,Next Product,ec-6
I00214,U0979,S0022,ms-2,180.0,0.5707,Rewatch,N/A
I00215,U0152,S0022,ec-4,206.01,0.4,Rewatch,N/A
I00216,U0306,S0022,ec-4,90.29,0.2039,Exit,N/A
I00217,U0175,S0022,ms-4,40.0,0.1778,Exit,N/A
I00218,U1566,S0022,ec-1,300.0,0.65,Rewatch,N/A
I00219,U0463,S0022,ec-3,10.0,0.2034,Exit,N/A
I00220,U1861,S0023,ec-2,271.34,0.9055,Next Product,ec-5
I00221,U1165,S0023,ec-4,207.54,0.9498,Share,N/A
I00222,U0204,S0023,ms-4,180.0,0.5479,Rewatch,N/A
I00223,U0167,S0023,ms-3,231.49,0.8571,Next Product,ms-2
I00224,U0837,S0023,ec-2,267.55,0.5459,Rewatch,N/A
I00225,U0067,S0023,ms-4,255.22,0.9654,Next Product,ms-6
I00226,U0146,S0023,ec-5,300.0,0.99,Next Product,ec-1
I00227,U1208,S0023,ec-5,257.32,0.4738,Rewatch,N/A
I00228,U0236,S0023,ec-3,233.06,0.8699,Next Product,ec-6
I00229,U0292,S0023,ms-2,258.39,0.85,Next Product,ms-6
I00230,U1689,S0024,ec-4,36.24,0.354,Rewatch,N/A
I00231,U0900,S0024,ms-2,31.39,0.0669,Exit,N/A
I00232,U0623,S0024,ec-6,98.02,0.9137,Share,N/A
I00233,U1106,S0024,ec-2,80.44,0.9514,Share,N/A
I00234,U1822,S0024,ec-1,185.58,0.5115,Rewatch,N/A
I00235,U0053,S0024,ms-2,280.19,0.8912,Next Product,ms-5
I00236,U1203,S0024,ms-1,63.55,0.4966,Exit,N/A
I00237,U1377,S0024,ms-5,84.75,0.9127,Share,N/A
I00238,U0359,S0024,ec-2,26.84,0.1677,Exit,N/A
I00239,U0906,S0024,ms-5,265.96,0.9548,Next Product,ms-3
I00240,U1008,S0025,ms-2,115.48,0.9643,Share,N/A
I00241,U0658,S0025,ec-5,232.79,0.886,Next Product,ec-1
I00242,U1015,S0025,ms-5,249.69,0.5743,Rewatch,N/A
I00243,U1558,S0025,ec-3,274.61,0.85,Next Product,ec-6
I00244,U0238,S0025,ec-1,19.99,0.2454,Exit,N/A
I00245,U1690,S0025,ms-1,30.53,0.1648,Exit,N/A
I00246,U1112,S0025,ec-2,121.24,0.99,Share,N/A
I00247,U0741,S0025,ec-4,40.0,0.071,Exit,N/A
I00248,U1281,S0025,ec-2,180.0,0.4,Rewatch,N/A
I00249,U1125,S0025,ms-3,17.53,0.1527,Rewatch,N/A
I00250,U0898,S0026,ec-6,27.42,0.0735,Exit,N/A
I00251,U0060,S0026,ec-5,180.0,0.4735,Rewatch,N/A
I00252,U0325,S0026,ms-5,34.16,0.2045,Exit,N/A
I00253,U1132,S0026,ec-1,300.0,0.9184,Share,N/A
I00254,U1870,S0026,ms-2,124.84,0.9803,Share,N/A
I00255,U1705,S0026,ms-3,20.03,0.1694,Exit,N/A
I00256,U1468,S0026,ms-5,31.59,0.1045,Exit,N/A
I00257,U0560,S0026,ec-1,285.68,0.5461,Exit,N/A
I00258,U0500,S0026,ec-2,102.61,0.9216,Share,N/A
I00259,U1888,S0026,ec-4,76.62,0.9,Next Product,ms-3
I00260,U0566,S0027,ec-1,291.58,0.9704,Next Product,ec-2
I00261,U0006,S0027,ms-5,180.0,0.5781,Rewatch,N/A
I00262,U1188,S0027,ec-5,14.42,0.1244,Exit,N/A
I00263,U0305,S0027,ec-2,105.12,0.9751,Share,N/A
I00264,U1131,S0027,ec-3,16.09,0.05,Exit,N/A
I00265,U1911,S0027,ms-6,26.81,0.2822,Exit,N/A
I00266,U1429,S0027,ms-4,93.91,0.9514,Share,N/A
I00267,U1589,S0027,ec-1,300.0,0.9495,Next Product,ec-2
I00268,U1662,S0027,ec-1,106.51,0.9633,Share,N/A
I00269,U1681,S0027,ec-5,57.51,0.229,Rewatch,N/A
I00270,U1015,S0028,ms-1,297.8,0.8944,Share,N/A
I00271,U0680,S0028,ms-2,20.31,0.3811,Next Product,ms-6
I00272,U1078,S0028,ec-2,300.0,0.9462,Next Product,ms-3
I00273,U1987,S0028,ms-3,243.7,0.8726,Next Product,ms-2
I00274,U1277,S0028,ec-6,60.0,0.9,Share,N/A
I00275,U0673,S0028,ec-5,54.84,0.5163,Exit,N/A
I00276,U0779,S0028,ms-6,212.36,0.5813,Exit,N/A
I00277,U1000,S0028,ec-3,214.17,0.9339,Next Product,ec-6
I00278,U1887,S0028,ms-5,28.45,0.5359,Exit,N/A
I00279,U1530,S0028,ms-2,102.35,0.9055,Share,N/A
I00280,U1298,S0029,ec-6,48.89,0.4644,Rewatch,N/A
I00281,U0909,S0029,ms-3,224.39,0.65,Exit,N/A
I00282,U0095,S0029,ms-6,19.22,0.1045,Exit,N/A
I00283,U0601,S0029,ms-6,73.87,0.9016,Share,N/A
I00284,U1088,S0029,ec-1,140.49,0.9401,Share,N/A
I00285,U0349,S0029,ms-3,236.56,0.85,Next Product,ms-2
I00286,U0494,S0029,ec-2,10.0,0.6198,Next Product,ec-5
I00287,U0945,S0029,ec-5,10.0,0.185,Exit,N/A
I00288,U0523,S0029,ec-5,257.04,0.99,Next Product,ec-3
I00289,U1388,S0029,ec-3,245.5,0.9464,Next Product,ec-6
I00290,U1204,S0030,ms-5,253.33,0.4173,Rewatch,N/A
I00291,U0513,S0030,ec-2,205.52,0.543,Rewatch,N/A
I00292,U0788,S0030,ec-2,264.56,0.8814,Next Product,ec-5
I00293,U0606,S0030,ec-6,247.32,0.9215,Share,N/A
I00294,U1349,S0030,ec-1,228.87,0.8836,Next Product,ec-2
I00295,U1526,S0030,ms-1,52.96,0.3804,Exit,N/A
I00296,U1527,S0030,ec-2,180.0,0.6213,Exit,N/A
I00297,U1589,S0030,ms-4,210.39,0.5125,Rewatch,N/A
I00298,U1304,S0030,ms-4,248.44,0.5944,Rewatch,N/A
I00299,U1477,S0030,ec-5,21.39,0.208,Exit,N/A
I00300,U0281,S0031,ec-5,217.57,0.9508,Next Product,ec-1
I00301,U1616,S0031,ec-2,267.79,0.9045,Next Product,ec-5
I00302,U1863,S0031,ms-5,259.78,0.8574,Next Product,ms-3
I00303,U1611,S0031,ec-3,77.72,0.3723,Next Product,ec-6
I00304,U1028,S0031,ms-5,180.0,0.4684,Rewatch,N/A
I00305,U1689,S0031,ec-2,89.47,0.137,Exit,N/A
I00306,U0605,S0031,ec-6,12.2,0.2377,Exit,N/A
I00307,U1648,S0031,ms-2,60.0,0.99,Share,N/A
I00308,U1545,S0031,ms-4,27.11,0.1452,Exit,N/A
I00309,U1484,S0031,ec-5,19.55,0.17,Rewatch,N/A
I00310,U1981,S0032,ec-3,98.87,0.9831,Share,N/A
I00311,U0029,S0032,ms-5,103.43,0.9545,Share,N/A
I00312,U1378,S0032,ec-6,205.46,0.5443,Rewatch,N/A
I00313,U1685,S0032,ec-5,28.08,0.0645,Rewatch,N/A
I00314,U0222,S0032,ec-5,11.52,0.1872,Exit,N/A
I00315,U0052,S0032,ec-4,26.71,0.1408,Exit,N/A
I00316,U1150,S0032,ms-6,25.18,0.1674,Rewatch,N/A
I00317,U0454,S0032,ec-5,233.81,0.8811,Next Product,ec-1
I00318,U0619,S0032,ec-5,150.0,0.9715,Share,N/A
I00319,U1938,S0032,ms-1,235.93,0.9463,Next Product,ms-4
I00320,U1818,S0033,ec-3,298.62,0.99,Next Product,ec-6
I00321,U1522,S0033,ec-6,19.89,0.4765,Next Product,ec-4
I00322,U1521,S0033,ec-6,10.0,0.086,Exit,N/A
I00323,U0850,S0033,ec-5,18.75,0.1513,Exit,N/A
I00324,U1003,S0033,ec-4,115.53,0.9282,Next Product,ec-3
I00325,U0759,S0033,ms-4,26.87,0.1122,Exit,N/A
I00326,U1947,S0033,ms-4,31.65,0.189,Exit,N/A
I00327,U0204,S0033,ec-5,140.24,0.9235,Next Product,ec-1
I00328,U0125,S0033,ec-1,30.74,0.0623,Exit,N/A
I00329,U1983,S0033,ms-2,40.0,0.1348,Rewatch,N/A
I00330,U1688,S0034,ec-2,25.95,0.159,Exit,N/A
I00331,U0435,S0034,ec-5,244.3,0.4,Exit,N/A
I00332,U0104,S0034,ms-6,249.84,0.8871,Next Product,ms-5
I00333,U0141,S0034,ec-3,200.0,0.9694,Next Product,ec-6
I00334,U0673,S0034,ms-3,182.21,0.65,Rewatch,N/A
I00335,U0568,S0034,ms-3,34.86,0.1203,Rewatch,N/A
I00336,U1107,S0034,ms-5,228.7,0.65,Rewatch,N/A
I00337,U1775,S0034,ms-1,31.92,0.2143,Exit,N/A
I00338,U0734,S0034,ms-4,33.05,0.1965,Exit,N/A
I00339,U0033,S0034,ms-3,251.19,0.9206,Next Product,ms-2
I00340,U0233,S0035,ec-6,258.01,0.9567,Next Product,ec-4
I00341,U1216,S0035,ms-2,91.5,0.9537,Share,N/A
I00342,U1260,S0035,ms-1,207.59,0.5616,Exit,N/A
I00343,U1350,S0035,ec-3,212.47,0.99,Next Product,ec-6
I00344,U0981,S0035,ec-1,17.67,0.1319,Exit,N/A
I00345,U0222,S0035,ec-2,187.23,0.6116,Rewatch,N/A
I00346,U1842,S0035,ms-2,23.04,0.1018,Exit,N/A
I00347,U0304,S0035,ms-2,269.71,0.9596,Next Product,ms-6
I00348,U1459,S0035,ms-6,97.99,0.9301,Share,N/A
I00349,U0604,S0035,ec-2,150.0,0.9602,Share,N/A
I00350,U1625,S0036,ec-6,211.78,0.99,Next Product,ec-2
I00351,U1130,S0036,ec-6,80.96,0.1772,Next Product,ec-4
I00352,U1819,S0036,ms-4,60.0,0.9676,Share,N/A
I00353,U0817,S0036,ec-1,32.13,0.1524,Exit,N/A
I00354,U0641,S0036,ec-1,286.7,0.8858,Next Product,ec-5
I00355,U1407,S0036,ec-2,297.39,0.8939,Next Product,ec-5
I00356,U0198,S0036,ec-6,203.19,0.5218,Rewatch,N/A
I00357,U1140,S0036,ms-1,60.0,0.9224,Share,N/A
I00358,U0676,S0036,ec-5,219.88,0.8816,Next Product,ec-1
I00359,U1537,S0036,ec-1,48.96,0.4351,Exit,N/A
I00360,U1477,S0037,ms-1,14.29,0.1841,Rewatch,N/A
I00361,U1230,S0037,ms-5,95.03,0.9252,Share,N/A
I00362,U0436,S0037,ms-3,40.0,0.1168,Exit,N/A
I00363,U0460,S0037,ms-2,135.01,0.99,Share,N/A
I00364,U0236,S0037,ms-5,10.0,0.1537,Exit,N/A
I00365,U1654,S0037,ec-1,19.82,0.1201,Exit,N/A
I00366,U1996,S0037,ec-4,30.55,0.1189,Exit,N/A
I00367,U1317,S0037,ec-3,235.12,0.9116,Share,N/A
I00368,U1699,S0037,ec-6,238.8,0.8613,Next Product,ec-4
I00369,U0633,S0037,ms-6,123.88,0.9815,Share,N/A
I00370,U0294,S0038,ec-4,28.44,0.1312,Exit,N/A
I00371,U0143,S0038,ms-3,191.79,0.4796,Exit,N/A
I00372,U0188,S0038,ec-6,150.0,0.9781,Share,N/A
I00373,U0930,S0038,ms-6,224.8,0.9282,Next Product,ms-5
I00374,U1929,S0038,ec-4,89.12,0.9675,Next Product,ec-3
I00375,U1546,S0038,ec-4,266.3,0.9742,Next Product,ec-3
I00376,U0869,S0038,ec-2,185.98,0.5605,Rewatch,N/A
I00377,U0442,S0038,ec-3,200.0,0.8571,Next Product,ec-6
I00378,U1390,S0038,ec-4,126.52,0.9215,Share,N/A
I00379,U0094,S0038,ms-4,16.59,0.1496,Exit,N/A
I00380,U1228,S0039,ms-1,270.84,0.867,Next Product,ms-4
I00381,U0282,S0039,ms-5,10.0,0.1065,Exit,N/A
I00382,U0246,S0039,ms-1,136.17,0.9603,Share,N/A
I00383,U0265,S0039,ec-1,139.72,0.916,Share,N/A
I00384,U1145,S0039,ec-5,10.0,0.1731,Exit,N/A
I00385,U0148,S0039,ec-1,57.2,0.4458,Rewatch,N/A
I00386,U0087,S0039,ec-1,274.61,0.9454,Share,N/A
I00387,U1766,S0039,ms-6,132.0,0.9851,Share,N/A
I00388,U1454,S0039,ec-5,141.46,0.9695,Share,N/A
I00389,U0043,S0039,ms-6,23.33,0.1573,Exit,N/A
I00390,U1941,S0040,ec-4,136.2,0.9255,Share,N/A
I00391,U0742,S0040,ms-2,111.06,0.9382,Share,N/A
I00392,U0893,S0040,ec-4,100.86,0.9884,Share,N/A
I00393,U1783,S0040,ms-5,227.64,0.5546,Rewatch,N/A
I00394,U1596,S0040,ms-3,209.2,0.9573,Next Product,ms-2
I00395,U0398,S0040,ms-6,119.36,0.99,Next Product,ms-5
I00396,U0303,S0040,ms-4,240.77,0.931,Next Product,ms-1
I00397,U0314,S0040,ec-5,257.48,0.99,Share,N/A
I00398,U1287,S0040,ec-2,97.14,0.9584,Share,N/A
I00399,U1187,S0040,ec-2,244.32,0.5687,Exit,N/A
I00400,U1317,S0041,ec-5,36.61,0.4291,Exit,N/A
I00401,U0662,S0041,ec-5,21.37,0.1587,Exit,N/A
