UserID,Username,UserType,Region,DeviceType,AccountType,Industry
U0063,sfielding,full,Bengaluru,Mobile,Press,Wireless Industry
U0064,chen_song,partial,New York,Mobile,Customer,Service Provider
U0065,cramsey,partial,Singapore,Mobile,Prospect,Large Enterprise
U0066,eholmes,full,Delhi,Mobile,Prospect,Data/Telecom OEM
U0067,apayne,full,London,Desktop,Press,ASP (Application Service Provider)
U0068,chen_wu,full,Dubai,Tablet,Distributor,Retail
U0069,gwood,minimal,New York,Mobile,Prospect,HR Tech
U0070,psharma,partial,London,Mobile,Investor,Small/Medium Enterprise
U0071,wei.chen,full,Mumbai,Tablet,Customer,Network Equipment Enterprise
U0072,emma.jones,full,Bengaluru,Mobile,Investor,ManagementISV
U0073,alex_payne,full,Chennai,Mobile,Competitor,Optical Networking
U0074,guestcamp,minimal,Mumbai,Mobile,Competitor,Storage Service Provider
U0075,byrne.liam,full,Bengaluru,Mobile,Supplier,Wireless Industry
U0076,dlawson,partial,Dubai,Mobile,Prospect,Wireless Industry
U0077,sara_ashworth,full,Singapore,Desktop,Prospect,NBFC
U0078,gmartin,minimal,Delhi,Desktop,Press,HR Tech
U0079,chenxu,partial,San Francisco,Mobile,Distributor,Non-management ISV
U0080,gmartin,minimal,New York,Mobile,Press,Storage Equipment
U0081,saraashw,full,Sydney,Tablet,Vendor,Non-management ISV
U0082,maria.garcia,partial,Sydney,Desktop,Vendor,ERP (Enterprise Resource Planning)
U0083,chen.liu,full,Singapore,Mobile,Partner,NBFC
U0084,cairns.john,full,Delhi,Mobile,Customer,Government/Military
U0085,mariacost,partial,Delhi,Mobile,Other,Retail
U0086,alex.moss,full,Delhi,Desktop,Prospect,Storage Equipment
U0087,sreed,partial,Singapore,Tablet,Analyst,NBFC
U0088,msilva,full,Singapore,Mobile,Reseller,Retail
U0089,sarachan,partial,Chennai,Mobile,Supplier,Network Equipment Enterprise
U0090,hussain.aisha,partial,Toronto,Mobile,Investor,NBFC
U0091,jbarker,full,Dubai,Desktop,Partner,HR Tech
U0092,james.sara,partial,Berlin,Mobile,Partner,Non-management ISV
U0093,jane.collins,full,Bengaluru,Desktop,Prospect,SAAS
U0094,blake.alex,full,New York,Mobile,Integrator,Storage Service Provider
U0095,weiwang,full,Chennai,Mobile,Partner,Non-management ISV
U0096,czheng,full,London,Desktop,Supplier,Automotive
U0097,sam.dunn,full,London,Desktop,Press,Service Provider
U0098,oliveira.maria,full,Dubai,Desktop,Press,ManagementISV
U0099,awatts,partial,Berlin,Tablet,Other,Data/Telecom OEM
U0100,cboyd,full,New York,Mobile,Analyst,Storage Equipment
U0101,samstok,partial,Bengaluru,Mobile,Press,HR Tech
U0102,wei.wu,partial,Delhi,Mobile,Customer,HR Tech
U0103,alex_harley,partial,New York,Desktop,Distributor,Service Provider
U0104,alex.blake,partial,Delhi,Mobile,Integrator,Storage Equipment
U0105,emma.thomas,full,London,Mobile,Distributor,BFSI
U0106,barker.jane,partial,Delhi,Mobile,Vendor,Service Provider
U0107,aishaansa,partial,Berlin,Mobile,Integrator,HR Tech
U0108,chen_wang,partial,Delhi,Desktop,Vendor,IT/ITES
U0109,dmills,full,Toronto,Mobile,Vendor,Small/Medium Enterprise
U0110,guestlewi,minimal,Sydney,Mobile,Distributor,IT/ITES
U0111,davies.emma,full,Delhi,Desktop,Other,BFSI
U0112,sam.tanner,full,New York,Desktop,Distributor,Large Enterprise
U0113,holt.chris,partial,Mumbai,Desktop,Vendor,Optical Networking
U0114,aishashei,partial,Mumbai,Mobile,Reseller,CPAAS
U0115,akhan,partial,Dubai,Mobile,Supplier,NBFC
U0116,maria.costa,full,Toronto,Mobile,Press,ASP (Application Service Provider)
U0117,wade.john,full,Toronto,Desktop,Customer,IT/ITES
U0118,john.mitchell,partial,Delhi,Desktop,Analyst,Automotive
U0119,ganderson,minimal,Toronto,Mobile,Competitor,Small/Medium Enterprise
U0120,jane_sutton,full,New York,Mobile,Other,ASP (Application Service Provider)
U0121,allen.guest,minimal,Bengaluru,Mobile,Reseller,Data/Telecom OEM
U0122,guestpowe,minimal,Delhi,Mobile,Press,SAAS
U0123,jane.collins,full,Mumbai,Mobile,Competitor,MSP (Management Service Provider)
U0124,young.guest,minimal,Bengaluru,Mobile,Supplier,SAAS
U0125,weihuan,full,Toronto,Mobile,Supplier,MSP (Management Service Provider)
U0126,huang.wei,full,Bengaluru,Mobile,Supplier,Data/Telecom OEM
U0127,jmorgan,full,Delhi,Mobile,Vendor,Large Enterprise
U0128,chen_lin,full,Dubai,Desktop,Prospect,ASP (Application Service Provider)
U0129,lnolan,partial,Berlin,Desktop,Vendor,Wireless Industry
U0130,chris.ingram,partial,Sydney,Desktop,Reseller,ASP (Application Service Provider)
U0131,chrisvanc,full,Tokyo,Tablet,Customer,Government/Military
U0132,janebark,full,Toronto,Mobile,Vendor,SAAS
U0133,ddawson,partial,Berlin,Desktop,Competitor,Optical Networking
U0134,mariaferr,partial,New York,Tablet,Prospect,CPAAS
U0135,emma_evans,partial,London,Mobile,Reseller,Small/Medium Enterprise
U0136,alexsaun,partial,Mumbai,Mobile,Customer,Data/Telecom OEM
U0137,aisha.hussain,partial,Dubai,Desktop,Customer,ERP (Enterprise Resource Planning)
U0138,davidfost,full,Singapore,Mobile,Investor,ASP (Application Service Provider)
U0139,fernandez.maria,partial,New York,Mobile,Other,Storage Service Provider
U0140,sam_gould,partial,Mumbai,Mobile,Reseller,SAAS
U0141,priyabhat,full,Berlin,Mobile,Prospect,Non-management ISV
U0142,doyle.liam,full,Bengaluru,Mobile,Customer,Small/Medium Enterprise
U0143,alex_harley,partial,Hyderabad,Mobile,Distributor,ERP (Enterprise Resource Planning)
U0144,guest.young,minimal,Delhi,Desktop,Competitor,Wireless Industry
U0145,samgoul,partial,New York,Desktop,Customer,Government/Military
U0146,jane_bennett,partial,Toronto,Mobile,Investor,SAAS
U0147,sammerc,partial,Bengaluru,Mobile,Press,Large Enterprise
U0148,john_elliot,full,London,Mobile,Vendor,Large Enterprise
U0149,guest_evans,minimal,Bengaluru,Tablet,Partner,Retail
U0150,campbell.guest,minimal,New York,Mobile,Integrator,Storage Equipment
U0151,guest_young,minimal,Toronto,Mobile,Customer,BFSI
U0152,guest.powell,minimal,New York,Mobile,Partner,Storage Service Provider
U0153,dgriffin,partial,New York,Mobile,Distributor,BFSI
U0154,gevans,minimal,Singapore,Mobile,Distributor,CPAAS
U0155,sutherland.chris,full,San Francisco,Mobile,Reseller,Government/Military
U0156,john.cairns,partial,Chennai,Mobile,Customer,Non-management ISV
U0157,rajkuma,partial,Mumbai,Desktop,Investor,SAAS
U0158,emma_bradley,full,New York,Mobile,Other,ERP (Enterprise Resource Planning)
U0159,alex.payne,full,Hyderabad,Desktop,Prospect,Service Provider
U0160,slane,full,Sydney,Mobile,Vendor,BFSI
U0161,iyer.raj,partial,Mumbai,Mobile,Supplier,CPAAS
U0162,chrisholt,full,Sydney,Tablet,Prospect,Network Equipment Enterprise
U0163,norris.sara,full,Delhi,Desktop,Integrator,Automotive
U0164,samcole,full,Delhi,Desktop,Competitor,SAAS
U0165,ewilson,full,Sydney,Tablet,Distributor,Small/Medium Enterprise
U0166,alexpayn,partial,Delhi,Desktop,Other,Network Equipment Enterprise
U0167,guest_turner,minimal,Sydney,Mobile,Customer,Wireless Industry
U0168,chen.xu,partial,Delhi,Mobile,Partner,Storage Service Provider
U0169,guest.roberts,minimal,New York,Mobile,Partner,HR Tech
U0170,rdesai,full,Berlin,Mobile,Prospect,IT/ITES
U0171,chambers.chris,full,San Francisco,Desktop,Other,Systems Integrator
U0172,wwang,partial,London,Desktop,Press,Network Equipment Enterprise
U0173,guestedwa,minimal,Hyderabad,Mobile,Competitor,Non-management ISV
U0174,holmes.emma,full,Bengaluru,Mobile,Other,ERP (Enterprise Resource Planning)
U0175,aishahuss,full,New York,Mobile,Integrator,BFSI
U0176,frost.alex,full,Tokyo,Desktop,Supplier,Retail
U0177,jcrawford,partial,Bengaluru,Mobile,Press,Retail Tech
U0178,mariafern,full,Toronto,Tablet,Vendor,NBFC
U0179,sara.lane,full,Berlin,Mobile,Other,Wireless Industry
U0180,czhang,full,Dubai,Mobile,Other,Wireless Industry
U0181,davidmill,partial,Singapore,Desktop,Press,CPAAS
U0182,guestlewi,minimal,Bengaluru,Desktop,Vendor,Storage Equipment
U0183,maria.garcia,full,New York,Mobile,Prospect,ERP (Enterprise Resource Planning)
U0184,liam_brennan,full,Mumbai,Mobile,Prospect,NBFC
U0185,doyle.chris,full,Delhi,Mobile,Supplier,Government/Military
U0186,guest.anderson,minimal,Sydney,Desktop,Vendor,Retail Tech
U0187,liam.mccarthy,full,Berlin,Mobile,Reseller,Non-management ISV
U0188,aisharaza,full,Sydney,Desktop,Press,Retail
U0189,guest_hall,minimal,Sydney,Mobile,Other,BFSI
U0190,sharma.priya,partial,Amsterdam,Mobile,Other,NBFC
U0191,whe,full,London,Desktop,Press,Service Provider
U0192,john.sutton,full,London,Tablet,Reseller,Wireless Industry
U0193,chen.wei,full,Bengaluru,Desktop,Press,SAAS
U0194,gwhite,minimal,London,Mobile,Supplier,Service Provider
U0195,white.guest,minimal,Singapore,Tablet,Distributor,ERP (Enterprise Resource Planning)
U0196,lryan,partial,Delhi,Desktop,Prospect,HR Tech
U0197,stone.alex,full,Singapore,Desktop,Other,ASP (Application Service Provider)
U0198,gwhite,minimal,Berlin,Desktop,Integrator,IT/ITES
U0199,guesthall,minimal,Bengaluru,Mobile,Other,Government/Military
U0200,raj_nair,partial,Dubai,Desktop,Partner,IT/ITES
U0201,sarajame,full,London,Mobile,Customer,Large Enterprise
U0202,ppillai,full,Mumbai,Mobile,Vendor,ManagementISV
U0203,david_brooks,partial,Singapore,Desktop,Integrator,Government/Military
U0204,sjames,full,Toronto,Mobile,Partner,SAAS
U0205,guest.wood,minimal,Singapore,Mobile,Other,Service Provider
U0206,gyoung,minimal,Singapore,Mobile,Distributor,BFSI
U0207,guest_thompson,minimal,Delhi,Mobile,Investor,Data/Telecom OEM
U0208,jbarker,full,Delhi,Desktop,Prospect,Storage Service Provider
U0209,kavanagh.liam,full,Hyderabad,Mobile,Vendor,Wireless Industry
U0210,ali.aisha,full,Bengaluru,Tablet,Integrator,SAAS
U0211,thompson.guest,minimal,Berlin,Desktop,Investor,ManagementISV
U0212,ahunt,full,Chennai,Mobile,Prospect,IT/ITES
U0213,guest_roberts,minimal,Hyderabad,Mobile,Integrator,NBFC
U0214,aali,full,Singapore,Mobile,Supplier,ASP (Application Service Provider)
U0215,preddy,full,San Francisco,Desktop,Other,Storage Equipment
U0216,guestcamp,minimal,Singapore,Tablet,Investor,IT/ITES
U0217,jhayes,full,Delhi,Desktop,Customer,Service Provider
U0218,guest_thompson,minimal,Berlin,Mobile,Press,ERP (Enterprise Resource Planning)
U0219,ansari.aisha,full,Chennai,Mobile,Integrator,BFSI
U0220,chris_nash,full,New York,Mobile,Integrator,Storage Equipment
U0221,gwood,minimal,London,Desktop,Integrator,ERP (Enterprise Resource Planning)
U0222,samgoul,partial,Bengaluru,Mobile,Integrator,Retail
U0223,weizhou,partial,Sydney,Mobile,Partner,Network Equipment Enterprise
U0224,edwards.guest,minimal,Chennai,Desktop,Integrator,CPAAS
U0225,john.barlow,partial,Mumbai,Desktop,Integrator,Small/Medium Enterprise
U0226,guestturn,minimal,Singapore,Mobile,Customer,ManagementISV
U0227,mariacarv,partial,Hyderabad,Tablet,Analyst,Retail Tech
U0228,lryan,full,Bengaluru,Desktop,Competitor,Automotive
U0229,chriskerr,full,London,Mobile,Supplier,Small/Medium Enterprise
U0230,rajpill,full,New York,Tablet,Customer,NBFC
U0231,chen_zhou,partial,Singapore,Desktop,Press,Systems Integrator
U0232,mariasous,partial,Delhi,Mobile,Vendor,Storage Equipment
U0233,sara_lane,partial,Berlin,Mobile,Customer,IT/ITES
U0234,saxena.priya,partial,London,Mobile,Investor,Retail Tech
U0235,reid.jane,full,Chennai,Mobile,Distributor,Small/Medium Enterprise
U0236,sdunn,partial,New York,Desktop,Reseller,CPAAS
U0237,slane,partial,Sydney,Desktop,Prospect,Network Equipment Enterprise
U0238,chris_doyle,full,Dubai,Tablet,Prospect,HR Tech
U0239,liam.kavanagh,full,Sydney,Mobile,Reseller,Network Equipment Enterprise
U0240,benson.sara,partial,Delhi,Desktop,Integrator,Data/Telecom OEM
U0241,kavanagh.liam,full,Amsterdam,Tablet,Customer,Systems Integrator
U0242,gwhite,minimal,Mumbai,Mobile,Distributor,Retail Tech
U0243,czheng,partial,Bengaluru,Mobile,Other,Small/Medium Enterprise
U0244,groberts,minimal,Bengaluru,Mobile,Reseller,Systems Integrator
U0245,wei.zheng,partial,Dubai,Mobile,Other,HR Tech
U0246,john.sutton,full,Hyderabad,Mobile,Distributor,Service Provider
U0247,snorris,full,San Francisco,Tablet,Customer,NBFC
U0248,mfernandez,full,Bengaluru,Mobile,Press,MSP (Management Service Provider)
U0249,lane.sara,full,Hyderabad,Desktop,Prospect,Small/Medium Enterprise
U0250,chen_song,full,Mumbai,Desktop,Investor,Optical Networking
U0251,emma_wilson,full,New York,Mobile,Reseller,Retail Tech
U0252,reed.sam,full,Chennai,Desktop,Integrator,MSP (Management Service Provider)
U0253,sam_gould,partial,Tokyo,Mobile,Investor,BFSI
U0254,alex_payne,partial,Singapore,Desktop,Integrator,Service Provider
U0255,david.hughes,partial,Delhi,Mobile,Competitor,SAAS
U0256,astone,full,London,Mobile,Customer,Small/Medium Enterprise
U0257,guest.lewis,minimal,Bengaluru,Mobile,Customer,Optical Networking
U0258,aishaqure,full,Mumbai,Tablet,Press,Storage Equipment
U0259,anderson.guest,minimal,Mumbai,Desktop,Other,NBFC
U0260,brooks.david,full,Tokyo,Mobile,Investor,Non-management ISV
U0261,wwang,full,Chennai,Mobile,Distributor,Small/Medium Enterprise
U0262,chenzhu,partial,Sydney,Mobile,Customer,Network Equipment Enterprise
U0263,janereid,full,Mumbai,Tablet,Analyst,Government/Military
U0264,alex.frost,full,London,Tablet,Supplier,SAAS
U0265,guestwood,minimal,Hyderabad,Mobile,Customer,Data/Telecom OEM
U0266,jane_warren,full,New York,Desktop,Prospect,Retail
U0267,guest_anderson,minimal,New York,Mobile,Vendor,IT/ITES
U0268,chris.ford,full,Hyderabad,Mobile,Competitor,ASP (Application Service Provider)
U0269,jsimmons,full,Sydney,Mobile,Prospect,Non-management ISV
U0270,raj_nair,partial,Berlin,Desktop,Customer,Optical Networking
U0271,liam.murphy,full,Mumbai,Mobile,Analyst,BFSI
U0272,afarooq,full,Toronto,Desktop,Prospect,Non-management ISV
U0273,emma.holmes,full,Mumbai,Desktop,Prospect,Wireless Industry
U0274,kaur.priya,partial,New York,Mobile,Customer,Large Enterprise
U0275,alexfros,partial,Sydney,Mobile,Prospect,Wireless Industry
U0276,cclifton,partial,Singapore,Desktop,Customer,Government/Military
U0277,weili,partial,Tokyo,Mobile,Investor,CPAAS
U0278,wei_he,partial,Amsterdam,Mobile,Vendor,Service Provider
U0279,emmasimp,full,New York,Tablet,Supplier,Government/Military
U0280,guest_young,minimal,Bengaluru,Desktop,Customer,HR Tech
U0281,maria_oliveira,partial,Toronto,Mobile,Analyst,Automotive
U0282,rajiyer,full,Bengaluru,Desktop,Partner,Retail
U0283,chris.ford,full,Bengaluru,Desktop,Customer,Storage Equipment
U0284,quinn.liam,full,Bengaluru,Mobile,Prospect,NBFC
U0285,gwood,minimal,Bengaluru,Mobile,Reseller,Large Enterprise
U0286,chrissuth,full,Bengaluru,Desktop,Analyst,ManagementISV
U0287,liamreil,full,Hyderabad,Desktop,Press,HR Tech
U0288,benson.sara,full,Singapore,Desktop,Vendor,Wireless Industry
U0289,jsutton,full,Mumbai,Desktop,Partner,Network Equipment Enterprise
U0290,john_mitchell,partial,London,Mobile,Integrator,Optical Networking
U0291,wei.chen,full,New York,Desktop,Partner,Large Enterprise
U0292,dparker,partial,Delhi,Mobile,Analyst,Retail
U0293,chen_zhang,full,London,Mobile,Integrator,SAAS
U0294,davidcarr,full,Bengaluru,Desktop,Press,BFSI
U0295,lgallagher,full,Mumbai,Desktop,Competitor,Government/Military
U0296,chen_zhang,full,New York,Mobile,Partner,Systems Integrator
U0297,chrisclif,partial,Berlin,Mobile,Press,Automotive
U0298,palmer.jane,partial,Dubai,Desktop,Other,IT/ITES
U0299,john.wade,partial,Bengaluru,Desktop,Vendor,Storage Service Provider
U0300,sutton.jane,full,Bengaluru,Tablet,Competitor,Storage Equipment
U0301,quinn.liam,partial,Mumbai,Mobile,Competitor,Small/Medium Enterprise
U0302,john_mitchell,full,New York,Mobile,Distributor,IT/ITES
U0303,kimura.alex,full,Bengaluru,Mobile,Investor,Wireless Industry
U0304,dmills,full,Bengaluru,Desktop,Customer,Storage Equipment
U0305,lbrennan,partial,Sydney,Mobile,Competitor,Storage Service Provider
U0306,pereira.maria,full,London,Mobile,Supplier,Large Enterprise
U0307,sam.hicks,full,Tokyo,Mobile,Reseller,ERP (Enterprise Resource Planning)
U0308,raj_desai,partial,Singapore,Tablet,Customer,Automotive
U0309,howell.sam,partial,Amsterdam,Desktop,Partner,CPAAS
U0310,john.norris,partial,Delhi,Desktop,Press,CPAAS
U0311,david_dawson,full,London,Mobile,Integrator,ManagementISV
U0312,john.griffith,partial,Singapore,Mobile,Distributor,Automotive
U0313,guestalle,minimal,Mumbai,Desktop,Distributor,Storage Service Provider
U0314,aisharaza,full,Bengaluru,Desktop,Competitor,Storage Equipment
U0315,priyamalh,partial,New York,Mobile,Press,Optical Networking
U0316,sara.fielding,full,Delhi,Mobile,Other,MSP (Management Service Provider)
U0317,guest.young,minimal,Mumbai,Tablet,Prospect,MSP (Management Service Provider)
U0318,lkavanagh,partial,Delhi,Desktop,Competitor,ASP (Application Service Provider)
U0319,aali,full,Delhi,Mobile,Competitor,Automotive
U0320,samshar,partial,Bengaluru,Mobile,Partner,Optical Networking
U0321,david_dawson,partial,Hyderabad,Mobile,Supplier,ASP (Application Service Provider)
U0322,chen_zhu,full,Toronto,Desktop,Competitor,MSP (Management Service Provider)
U0323,raj_gupta,partial,Tokyo,Desktop,Integrator,Optical Networking
U0324,priyamalh,full,Berlin,Desktop,Competitor,Storage Service Provider
U0325,davidmill,full,San Francisco,Mobile,Press,Service Provider
U0326,asiddiqui,partial,New York,Mobile,Other,ERP (Enterprise Resource Planning)
U0327,cholt,partial,Bengaluru,Desktop,Customer,Wireless Industry
U0328,mills.david,full,Mumbai,Mobile,Other,Systems Integrator
U0329,rajpill,full,New York,Mobile,Competitor,NBFC
U0330,alves.maria,full,Berlin,Mobile,Other,Automotive
U0331,anderson.guest,minimal,London,Mobile,Prospect,CPAAS
U0332,sam.sharp,full,Dubai,Mobile,Press,IT/ITES
U0333,liamreil,partial,Chennai,Mobile,Press,HR Tech
U0334,emma_taylor,partial,Toronto,Mobile,Partner,ERP (Enterprise Resource Planning)
U0335,jane.sutton,partial,Chennai,Desktop,Partner,ManagementISV
U0336,ldolan,partial,Tokyo,Mobile,Investor,MSP (Management Service Provider)
U0337,walters.sara,full,Mumbai,Tablet,Reseller,Automotive
U0338,guest_turner,minimal,Sydney,Mobile,Other,SAAS
U0339,emma_hart,partial,London,Mobile,Investor,Data/Telecom OEM
U0340,mrodrigues,partial,Berlin,Mobile,Competitor,NBFC
U0341,mirza.aisha,full,Bengaluru,Mobile,Integrator,IT/ITES
U0342,guest.young,minimal,Mumbai,Desktop,Competitor,ASP (Application Service Provider)
U0343,guest_evans,minimal,Berlin,Mobile,Press,MSP (Management Service Provider)
U0344,cwu,partial,Dubai,Mobile,Investor,IT/ITES
U0345,liam_nolan,full,New York,Mobile,Analyst,ERP (Enterprise Resource Planning)
U0346,janebark,partial,London,Tablet,Reseller,Service Provider
U0347,vance.chris,full,Chennai,Desktop,Customer,Small/Medium Enterprise
U0348,raj.rao,partial,San Francisco,Mobile,Analyst,Optical Networking
U0349,cross.jane,full,Delhi,Desktop,Reseller,Large Enterprise
U0350,liambyrn,full,London,Mobile,Reseller,ERP (Enterprise Resource Planning)
U0351,alex_drummond,full,Chennai,Mobile,Prospect,Storage Service Provider
U0352,marsh.jane,full,Sydney,Mobile,Prospect,Retail Tech
U0353,garcia.maria,full,Dubai,Mobile,Customer,Retail Tech
U0354,david_carr,full,Dubai,Desktop,Investor,Data/Telecom OEM
U0355,guest.allen,minimal,Delhi,Mobile,Vendor,Retail Tech
U0356,warren.jane,full,Delhi,Desktop,Integrator,SAAS
U0357,alex_moss,full,London,Desktop,Press,ERP (Enterprise Resource Planning)
U0358,alexkimu,partial,Sydney,Mobile,Distributor,Wireless Industry
U0359,wade.john,partial,Bengaluru,Desktop,Vendor,Systems Integrator
U0360,reid.jane,partial,Dubai,Mobile,Other,Government/Military
U0361,rsingh,full,Bengaluru,Mobile,Customer,ASP (Application Service Provider)
U0362,ansari.aisha,full,Hyderabad,Desktop,Investor,HR Tech
U0363,mariamart,partial,Bengaluru,Desktop,Integrator,Storage Service Provider
U0364,sheikh.aisha,full,Chennai,Mobile,Supplier,ERP (Enterprise Resource Planning)
U0365,chen.zheng,full,Dubai,Mobile,Other,Non-management ISV
U0366,iyer.priya,partial,Dubai,Tablet,Integrator,Network Equipment Enterprise
U0367,howell.sam,full,Toronto,Mobile,Other,Retail
U0368,chris.nash,full,Chennai,Desktop,Partner,ASP (Application Service Provider)
U0369,thompson.guest,minimal,Mumbai,Mobile,Other,Retail
U0370,ejones,full,Delhi,Tablet,Other,Retail Tech
U0371,rajmeht,partial,Bengaluru,Tablet,Competitor,NBFC
U0372,gwood,minimal,New York,Mobile,Integrator,NBFC
U0373,david_dawson,full,Singapore,Desktop,Customer,Non-management ISV
U0374,allen.guest,minimal,Dubai,Tablet,Other,ManagementISV
U0375,davidnewt,partial,Berlin,Mobile,Supplier,SAAS
U0376,gedwards,minimal,Berlin,Desktop,Investor,Retail Tech
U0377,dcarr,full,Mumbai,Mobile,Distributor,Optical Networking
U0378,alex.moss,full,Bengaluru,Mobile,Vendor,BFSI
U0379,guest.hall,minimal,Berlin,Mobile,Prospect,Optical Networking
U0380,guestthom,minimal,Bengaluru,Desktop,Prospect,Service Provider
U0381,sutherland.chris,full,Mumbai,Desktop,Other,ERP (Enterprise Resource Planning)
U0382,janebenn,partial,London,Desktop,Partner,CPAAS
U0383,rajjosh,full,Toronto,Desktop,Integrator,NBFC
U0384,chenzhen,full,London,Mobile,Competitor,Government/Military
U0385,ali.aisha,full,London,Mobile,Prospect,Optical Networking
U0386,david.weir,partial,Berlin,Mobile,Integrator,CPAAS
U0387,thornton.john,full,Delhi,Mobile,Investor,ManagementISV
U0388,guest.edwards,minimal,London,Desktop,Distributor,ASP (Application Service Provider)
U0389,ghall,minimal,Toronto,Mobile,Other,Non-management ISV
U0390,liam.walsh,partial,London,Mobile,Competitor,Non-management ISV
U0391,nash.chris,full,Berlin,Mobile,Reseller,NBFC
U0392,rajjosh,partial,London,Desktop,Partner,Retail Tech
U0393,sharp.sam,full,New York,Desktop,Other,Storage Service Provider
U0394,lsullivan,full,London,Mobile,Distributor,Small/Medium Enterprise
U0395,siddiqui.aisha,partial,Singapore,Desktop,Supplier,BFSI
U0396,liamreil,full,London,Tablet,Vendor,HR Tech
U0397,mrodrigues,partial,Delhi,Desktop,Competitor,NBFC
U0398,jfrost,full,Hyderabad,Tablet,Supplier,Retail
U0399,joshi.raj,partial,London,Mobile,Prospect,IT/ITES
U0400,jane_barker,full,Mumbai,Mobile,Vendor,Service Provider
